,Protein,theta,sigma2,alpha,beta,pvalue,Expression_divergence
22803,XP_036833634.1,7.649479793,0.00819397,1.646217432,99,0.606434804,0.217215882
22804,XP_036833645.1,6.137002566,0.006115291,1.652009044,99,0.580881698,0.235912307
22805,XP_036833648.1,7.737532502,0.017841704,0.928039976,19.51432459,0.952629696,0.021075884
22806,XP_036833651.1,6.595543965,0.018360069,0.991907138,23.62993248,0.974721492,0.011119458
22807,XP_036833658.1,6.810998121,0.003086579,0.566113339,99,0.320809145,0.49375326
22808,XP_036833660.1,7.676502978,0.017564045,0.831625236,11.01892582,0.69121682,0.160385702
22809,XP_036833663.1,10.58877616,0.002262597,0.534891733,99,0.317844134,0.497785799
22810,XP_036833666.1,10.25675924,0.01323778,1.127803204,35.19582934,0.853796406,0.068645678
22811,XP_036833667.1,8.600838655,0.00463006,0.435849976,99,0.311190661,0.506973445
22812,XP_036833671.1,8.810594667,0.026948305,0.827425417,12.28446926,0.737339623,0.132332427
22813,XP_036833703.1,10.39612785,0.004846851,1.450630214,99,0.524079577,0.280602764
22814,XP_036833707.1,6.426064093,0.016764955,1.061508727,26.14973093,0.942586779,0.025678656
22815,XP_036833712.1,9.193780139,0.018863853,0.960880791,20.99006131,0.981826661,0.007965179
22816,XP_036833722.1,6.919949877,0.010691615,1.56101714,99,0.576918747,0.238885348
22817,XP_036833723.1,8.445302402,0.025886122,0.924372255,17.10030056,0.900204826,0.045658663
22818,XP_036833729.1,8.093022057,0.014540695,0.842055641,11.59334104,0.717882447,0.143946666
22819,XP_036833734.1,5.713694301,0.021781582,0.794920298,10.10404159,0.633157135,0.198488495
22820,XP_036833746.1,8.772499684,0.000686387,0.428016066,99,0.308768123,0.510367542
22821,XP_036833747.1,7.123053353,0.001635014,1.106549135,99,0.391973551,0.406743237
22822,XP_036833748.1,5.8936849,0.002978643,0.961370795,99,0.367030221,0.435298175
22823,XP_036833749.1,5.763102549,0.003210984,1.016423302,99,0.376021722,0.424787066
22824,XP_036833751.1,8.000075234,0.069955682,0.84722594,12.23727276,0.743152226,0.128922217
22825,XP_036833758.1,6.01461674,0.011071301,1.063527289,28.0382822,0.919486567,0.036454611
22826,XP_036833761.1,6.718351355,0.002034518,0.573715643,99,0.323453653,0.49018794
