,Protein,theta,sigma2,alpha,beta,pvalue,Expression_divergence
5069,XP_021435176.2,6.896154005,0.006269007,0.968931573,99,0.37205515,0.42939268
5070,XP_021435177.1,9.639520159,0.007915068,1.250050031,44.473673,0.802585535,0.095508672
5071,XP_021435180.2,7.056279815,0.007760991,1.628274203,99,0.570492798,0.243749834
5072,XP_021435181.2,8.980896645,0.001840959,0.890311154,99,0.355305417,0.449398171
5073,XP_021435193.2,8.239442504,0.034998974,0.786854862,8.62218901,0.556778612,0.254317456
5074,XP_021435196.1,13.57862204,0.05863873,0.684271895,3.77024494,0.138263795,0.859291527
5075,XP_021435207.2,6.918426798,0.009063355,1.664300064,87.1056458,0.702634429,0.153270574
5076,XP_021435211.2,5.7103696,0.001994065,0.814087982,99,0.346355391,0.460478048
5077,XP_021435215.2,8.529115797,0.004235162,0.832311597,99,0.354215572,0.45073235
5078,XP_021435220.2,7.564158976,0.008595105,1.083403361,27.48878708,0.927528686,0.03267265
5079,XP_021435224.2,10.94404984,0.003678912,1.442048387,99,0.487150525,0.312336825
5080,XP_021435275.2,6.423819444,0.005261589,1.305657033,99,0.46033435,0.336926617
5081,XP_021435276.1,6.701678645,0.002731522,0.849553432,99,0.349599613,0.456429057
5082,XP_021435277.1,8.785844996,0.002473852,1.370151707,99,0.487699811,0.311847413
5083,XP_021435280.1,7.464039203,0.002306689,1.199204128,42.78678196,0.806201173,0.093556574
5084,XP_021435288.1,6.192325208,0.013313654,1.100420101,29.14927557,0.909881824,0.04101501
5085,XP_021435292.2,6.45802205,0.002674139,1.064230022,99,0.383719777,0.415985817
5086,XP_021435293.1,7.397742854,0.02527792,0.963856704,20.39360291,0.971016109,0.012773565
5087,XP_021435300.1,9.333724952,0.003743152,1.58747494,99,0.549873219,0.259737432
5088,XP_021435303.1,9.161530657,0.027955376,0.89783787,15.67876597,0.86132595,0.064832468
5089,XP_021435307.1,6.643471316,0.006409913,1.608034124,99,0.55596753,0.254950572
5090,XP_021435309.1,6.575109824,0.038482213,0.862992689,13.31930387,0.78482936,0.105224759
5091,XP_021435312.1,6.891909658,0.000968436,0.506257397,99,0.31750245,0.498252919
5092,XP_021435313.1,6.65880069,0.003408479,1.070403849,99,0.393909753,0.404603266
5093,XP_021435315.1,6.689800971,0.026865491,1.142776514,32.08117307,0.883910433,0.05359174
5094,XP_021435318.1,6.779077766,0.004085413,1.616826464,99,0.572033424,0.242578595
5095,XP_021435320.1,8.080629015,0.011831238,1.471881657,99,0.532191215,0.273932299
5096,XP_021435321.1,7.810395271,0.016534317,0.786712758,9.304597024,0.590486947,0.228789698
5097,XP_021435326.1,7.439831422,0.081504559,0.683002676,3.247952095,0.103258199,0.986075454
5098,XP_021435328.2,7.444463745,0.008058617,1.147845111,99,0.411523622,0.385605231
5099,XP_021435329.2,6.277915729,0.053506492,0.672581223,2.656801112,0.05884182,1.230313903
5100,XP_021435332.1,5.857715252,0.049231572,0.774011718,8.608292034,0.546354554,0.262525433
5101,XP_021435358.1,9.394637092,0.047979816,0.780254899,9.149215131,0.578538612,0.237667651
5102,XP_021435360.1,9.824867774,0.073331032,0.673621589,3.160614121,0.087091418,1.060024638
5103,XP_021435363.1,9.048448747,0.003785598,0.428767009,99,0.310007498,0.508627802
5104,XP_021435366.1,6.194687641,0.00373623,1.227664069,99,0.439272558,0.357265927
5105,XP_021435369.1,7.788197221,0.00744769,1.506825293,67.50848062,0.73609771,0.133064533
5106,XP_021435376.2,7.317891148,0.00187439,0.423540381,99,0.309022421,0.510010009
5107,XP_021435379.1,7.678392957,0.008956782,1.669754699,99,0.591788806,0.227833254
5108,XP_021435381.1,6.88805122,0.008511967,1.725092977,99,0.629584649,0.20094587
5109,XP_021435385.1,6.690683191,0.017009314,1.439138942,99,0.483486333,0.315615798
5110,XP_021435386.1,8.996972664,0.005308408,1.419425753,56.13345792,0.767432033,0.114960077
5111,XP_021435387.1,6.345220233,0.005378395,1.419941996,99,0.507909405,0.294213745
5112,XP_021435392.2,7.11945421,0.012471449,1.05587052,29.79866075,0.898804636,0.046334696
5113,XP_021435395.2,7.344668679,0.015584328,1.122022214,35.6397837,0.849339401,0.070918728
5114,XP_021435400.1,6.321997011,0.056160506,0.709272905,4.62994804,0.229733216,0.638776208
5115,XP_021435401.1,6.599583086,0.07933534,0.673644405,3.049767958,0.080679384,1.093237426
5116,XP_021435409.2,7.363852142,0.016807104,1.222665317,38.67604509,0.838058696,0.076725563
5117,XP_021435411.2,8.549039098,0.027605741,0.727212726,5.280872918,0.297825779,0.526037714
5118,XP_021435414.2,6.76988321,0.023378751,0.956409074,20.62000074,0.975013412,0.01098941
5119,XP_021435416.2,8.693940734,0.017341001,1.445759857,61.15303664,0.750261451,0.124787367
5120,XP_021435417.2,6.882400804,0.006716724,1.573139468,99,0.556857246,0.254256125
5121,XP_021435421.2,7.096319764,0.006253281,1.458566573,99,0.489871568,0.309917766
5122,XP_021435426.1,8.766789344,0.018125781,0.721298522,5.056795107,0.274978574,0.560701145
5123,XP_021435428.2,11.25776371,0.039304585,0.80976704,10.04269469,0.638987002,0.194507976
5124,XP_021435429.2,8.795733438,0.177563126,0.730859466,6.334804402,0.372573806,0.428787682
5125,XP_021435431.2,6.801895116,0.04361928,0.770644824,8.553725236,0.540957645,0.266836737
5126,XP_021435444.2,8.920836283,0.005830098,0.969505618,99,0.37078144,0.430882013
5127,XP_021435456.1,6.343591868,0.004873219,0.960560126,99,0.366055472,0.436453097
5128,XP_021435458.2,7.649460239,0.004431621,1.620139351,99,0.625825969,0.20354642
5129,XP_021435459.2,6.684491572,0.032978582,0.898502733,15.79784384,0.864537982,0.063215922
5130,XP_021435460.1,5.971888361,0.018447451,0.861115906,12.99367645,0.773729459,0.111410867
5131,XP_021435464.1,6.72324789,0.001572222,0.304337197,99,0.301602601,0.520564917
5132,XP_021435466.1,9.290062546,0.013543441,0.801136323,9.816500539,0.623714316,0.205014288
5133,XP_021435467.1,12.90997702,0.076327378,0.81567606,10.77307833,0.67325838,0.171818232
5134,XP_021435493.2,10.16564005,0.015237148,0.831731762,12.81162141,0.757853168,0.12041493
5135,XP_021435495.1,11.92930621,0.011359004,1.532764571,99,0.559172815,0.252453951
5136,XP_021435501.2,6.017672791,0.243161068,0.639579536,1.378030666,0.002568563,2.590309778
5137,XP_021435513.2,11.50322373,0.118992585,0.652840904,1.764813543,0.011981137,1.921501966
5138,XP_021435514.1,5.622397197,0.001307254,0.500503183,99,0.317448318,0.49832697
5139,XP_021435526.1,7.137665955,0.014963255,0.933283318,20.00621613,0.962620499,0.016544894
5140,XP_021435531.1,6.98378573,0.011463628,1.007124843,22.01920463,0.999808186,8.33118E-05
5141,XP_021435539.1,5.764728551,0.022916481,1.014883953,22.90539673,0.986026806,0.006111278
5142,XP_021435547.2,10.14411364,0.012557154,0.85237407,14.20287147,0.809681333,0.091685873
5143,XP_021435548.2,11.24538771,0.011886954,0.799945713,9.091050733,0.589362946,0.229617172
5144,XP_021435554.2,7.397294692,0.002796058,1.398617438,99,0.500315742,0.300755832
5145,XP_021435556.2,9.368110094,0.043262892,0.806325053,10.85503431,0.672060708,0.172591495
5146,XP_021435561.2,10.91372197,0.012530299,0.884365221,99,0.362412503,0.440796828
5147,XP_021435574.1,8.249462678,0.003501928,1.709114825,99,0.670953313,0.173307698
5148,XP_021435579.1,7.366881509,0.015911079,0.852604574,12.35853798,0.749462612,0.125250028
5149,XP_021435583.1,7.175715971,0.029111978,0.685077385,3.394634454,0.114839659,0.939908106
5150,XP_021435587.1,7.136971047,0.017701115,1.115197228,31.86111345,0.88306902,0.054005351
5151,XP_021435593.1,8.107741008,0.001481789,0.713039939,99,0.336365953,0.47318797
5152,XP_021435594.2,6.901447254,0.019145216,0.962202585,19.56833336,0.955384485,0.019821816
5153,XP_021435600.2,7.462383174,0.042054948,0.819131121,10.82896024,0.677346528,0.169189091
5154,XP_021435602.1,8.765542106,0.015928086,1.107034129,34.10972417,0.8610035,0.064995083
5155,XP_021435603.2,6.434486537,0.021440499,0.946105205,17.86866812,0.919831111,0.036291906
5156,XP_021435607.2,7.594286526,0.041185144,0.790760212,9.448741077,0.600095516,0.221779618
5157,XP_021435613.1,5.596015494,0.08980267,0.658989297,2.291461546,0.030892968,1.510140365
5158,XP_021435648.2,10.12988509,0.003191952,1.087483546,99,0.392864357,0.405757371
5159,XP_021435748.2,5.748420675,0.005205239,1.578484507,99,0.592563332,0.227265226
5160,XP_021435771.2,6.820994684,0.003670998,1.01809176,99,0.383784245,0.415912858
5161,XP_021435789.2,6.005987503,0.002313286,1.152178406,99,0.412257084,0.384831873
5162,XP_021435792.1,8.01990897,0.012406801,0.711380124,4.581764496,0.229246877,0.639696572
5163,XP_021435796.1,6.980478743,0.003435048,1.411352807,99,0.498945684,0.30194673
5164,XP_021435799.1,7.282387774,0.004072958,1.712160542,88.32150292,0.707040039,0.150555992
5165,XP_021435806.1,7.919965122,0.020213192,1.145671976,32.11311399,0.883908208,0.053592833
5166,XP_021435808.1,7.526317255,0.051388235,0.749046039,6.427589786,0.398253706,0.399840174
5167,XP_021435809.2,8.949754009,0.050074969,0.731591493,5.551126181,0.321380076,0.492981051
5168,XP_021435810.2,6.198850807,0.079512347,0.773329298,7.994501181,0.513022104,0.289863923
5169,XP_021435816.2,7.887931792,0.00481422,1.537900316,99,0.560618338,0.2513327
5170,XP_021435819.2,7.166846807,0.004626417,0.887273797,99,0.358070917,0.446030952
5171,XP_021435820.1,9.930931778,0.004123097,1.405638559,99,0.503608636,0.297906831
5172,XP_021435821.2,7.849360451,0.021297646,1.316705847,47.59048656,0.794187764,0.100076808
5173,XP_021435833.2,7.007787792,0.016579798,1.175450371,35.32908344,0.858420237,0.066300053
5174,XP_021435837.2,7.619516243,0.003351897,1.741161083,99,0.669069501,0.174528767
5175,XP_021435838.2,7.077353237,0.007374176,1.755809053,99,0.662387422,0.178887923
5176,XP_021435841.2,6.677930021,0.015729769,1.028363901,99,0.387329794,0.411919095
5177,XP_021435843.2,7.836455413,0.00425998,0.782934279,99,0.344943178,0.46225244
5178,XP_021435846.2,7.02760794,0.078504045,0.716369109,5.535172425,0.301962041,0.520047648
5179,XP_021435849.1,7.731938219,0.002401401,1.652271521,99,0.629095764,0.201283239
5180,XP_021435853.2,7.93778828,0.002813616,1.009040904,99,0.37559778,0.425276983
5181,XP_021435854.1,6.873448842,0.004431932,1.721084776,99,0.642432914,0.192172217
5182,XP_021435857.2,6.821849376,0.005115716,1.024973045,99,0.383236122,0.416533563
5183,XP_021435861.2,6.106542624,0.002142861,0.845620429,99,0.349081875,0.4570727
5184,XP_021435867.2,7.576183006,0.057290454,0.662257688,2.505059551,0.042050327,1.376230623
5185,XP_021435875.2,10.31854215,0.002803812,1.297148536,99,0.455380735,0.341625346
5186,XP_021435880.2,7.805545219,0.008328382,1.612747043,81.05025728,0.710614869,0.14836571
5187,XP_021435881.2,9.075847315,0.002208023,1.788254178,99,0.678918501,0.168182356
5188,XP_021435883.1,9.092588204,0.007846865,1.241812412,99,0.440656016,0.355900296
5189,XP_021435889.2,6.279627712,0.157775682,0.648479379,1.752900023,0.009876976,2.005376002
5190,XP_021435892.1,6.643715347,0.004772832,1.711923735,99,0.619316086,0.20808764
5191,XP_021435893.1,7.541256223,0.006936391,1.232208921,99,0.421265138,0.37544448
5192,XP_021435901.2,7.188954038,0.003465468,0.851221241,99,0.356683417,0.447717082
5193,XP_021435902.2,8.925650488,0.005076146,1.120773762,99,0.39688554,0.401334724
5194,XP_021435907.2,6.126476117,0.124782145,0.664045331,2.355626263,0.037354885,1.427652596
5195,XP_021435916.1,7.473838583,0.024627233,0.901405001,15.58998138,0.859657532,0.065674527
5196,XP_021435918.2,7.681935243,0.00232004,0.878268232,99,0.358369745,0.445668662
5197,XP_021435937.2,10.0798345,0.046989789,0.992727501,21.12313631,0.98477236,0.006664149
5198,XP_021435939.2,7.084047119,0.001442813,0.771592889,99,0.341304225,0.466858336
5199,XP_021435942.1,8.972661864,0.013362578,1.475205703,99,0.526282648,0.278780949
5200,XP_021435945.2,8.79284358,0.006252833,1.483593584,99,0.540588678,0.267133054
5201,XP_021435947.1,8.049117248,0.068927908,0.711405974,5.262634364,0.276936921,0.557619141
5202,XP_021435950.1,7.30477261,0.003080902,0.578024657,99,0.324116019,0.489299504
5203,XP_021435953.1,10.48147592,0.008662733,1.29171709,99,0.458432969,0.338724157
5204,XP_021435955.2,11.4017191,0.021270987,0.957938112,18.77266491,0.939613993,0.027050524
5205,XP_021435957.1,8.574523825,0.012409905,0.731198022,5.821715829,0.338812861,0.470040113
5206,XP_021435959.1,6.097140798,0.050282144,0.701244965,4.297603381,0.196049999,0.707633156
5207,XP_021435962.2,7.068180803,0.068079118,0.698008233,4.543693353,0.209296859,0.679237289
5208,XP_021435966.2,6.26667648,0.002467667,0.778868354,99,0.342775511,0.464990213
5209,XP_021435967.2,8.89234173,0.005762579,1.615292007,99,0.616865016,0.209809859
5210,XP_021435970.1,6.472659481,0.014082574,1.047147679,28.82640019,0.908985612,0.041442991
5211,XP_021435981.1,5.996491932,0.003470347,1.392597593,99,0.469193793,0.328647742
5212,XP_021435983.2,7.255082728,0.037275801,0.737800376,6.386438524,0.383315212,0.416443945
5213,XP_021435988.2,7.523433939,0.049231825,0.675538301,2.967998512,0.078204062,1.106770689
5214,XP_021435991.2,6.401200238,0.014629534,0.94372603,17.92607909,0.920807124,0.035831329
5215,XP_021435992.1,6.3361275,0.00316183,1.087823195,99,0.392368528,0.406305835
5216,XP_021436000.1,7.275983994,0.005608161,1.432187479,99,0.482507283,0.316496127
5217,XP_021436002.1,6.920366901,0.019552113,0.938360815,19.38850493,0.950660321,0.021974632
5218,XP_021436007.2,7.968660636,0.005689489,0.780571589,99,0.343951788,0.463502429
5219,XP_021436008.2,8.153498494,0.002604783,1.459521975,99,0.528330809,0.277094063
5220,XP_021436012.1,8.238784094,0.017158236,0.725920359,6.149364148,0.354936821,0.449848945
5221,XP_021436015.2,6.586642742,0.003426965,1.386093293,99,0.484319504,0.314868041
5222,XP_021436019.2,8.801321096,0.012333332,0.846564359,12.89249,0.765494262,0.11605806
5223,XP_021436022.2,6.666916285,0.001417258,0.322196875,99,0.302373169,0.519456748
5224,XP_021436033.2,8.428011321,0.028825553,0.731902865,6.505874979,0.384973598,0.414569054
5225,XP_021436035.2,9.174806429,0.032860282,0.737254818,6.792911884,0.408963591,0.388315354
5226,XP_021436037.2,7.247966472,0.073861695,0.72400983,6.039062783,0.345384717,0.461696884
5227,XP_021436039.1,7.644203319,0.040984609,0.737778103,6.096797223,0.364532613,0.438263611
5228,XP_021436053.2,7.087861053,0.023340614,1.225030618,39.37655379,0.833214821,0.079243014
5229,XP_021436054.1,5.954514255,0.001108364,0.427684755,99,0.30832908,0.510985513
5230,XP_021436060.1,8.489785838,0.001151094,0.402756599,99,0.307142272,0.512660407
5231,XP_021436064.1,5.627045672,0.025003183,0.865112631,12.84581985,0.770347378,0.113313391
5232,XP_021436067.1,5.650228095,0.017597235,0.781639227,9.497303141,0.59668484,0.224254996
5233,XP_021436071.2,10.12160732,0.011130705,1.469569333,99,0.502269983,0.299062776
5234,XP_021436103.2,7.530690307,0.002202545,1.588917919,99,0.583608293,0.233878545
5235,XP_021436107.1,10.01568113,0.004077389,1.031097423,99,0.377517671,0.423062715
5236,XP_021436113.1,8.381126637,0.002465242,0.700503306,99,0.334633339,0.475430793
5237,XP_021436122.2,6.611780197,0.003114919,1.053938444,99,0.388909898,0.410151004
5238,XP_021436126.1,8.363036111,0.107939081,0.647356709,1.554501177,0.006229654,2.205536074
5239,XP_021436129.2,7.801723643,0.157190985,0.711563429,4.548056428,0.2271983,0.643594923
5240,XP_021436131.2,8.972483347,0.003996732,0.934409087,99,0.367992694,0.434160804
5241,XP_021436132.2,8.34974564,0.08639782,0.733354116,5.762968039,0.337514684,0.471707328
5242,XP_021436135.1,8.2847856,0.009066078,1.312672273,52.14257672,0.769601446,0.113734125
5243,XP_021436140.2,5.938140903,0.0189586,1.009462871,25.69679435,0.945621576,0.024282627
5244,XP_021436143.2,6.570512893,0.001707772,1.077218288,99,0.399855134,0.398097323
5245,XP_021436155.2,9.834877654,0.171189471,0.647488585,1.556317059,0.00629643,2.200905621
5246,XP_021436159.2,7.783038839,0.034955593,0.680026684,3.531048151,0.11736971,0.930443968
5247,XP_021436162.1,6.338436574,0.029077769,0.74178572,6.426269322,0.390151687,0.408766511
5248,XP_021436178.2,7.547845052,0.035386967,0.759001386,7.743017337,0.486720264,0.312720572
5249,XP_021436181.2,6.382643511,0.010135988,1.085033827,27.49218989,0.927606856,0.03263605
5250,XP_021436193.2,5.836337582,0.023298403,0.795197393,10.18806142,0.637133273,0.195769714
5251,XP_021436202.2,7.539463776,0.006302896,1.605640279,99,0.600211768,0.221695494
5252,XP_021436206.1,7.437650871,0.00611722,1.569800112,99,0.538267622,0.269001743
5253,XP_021436214.2,6.198088639,0.00531521,1.351215333,99,0.481112817,0.317753073
5254,XP_021436219.2,6.604021424,0.007170058,1.682395393,85.13385788,0.710545461,0.148408131
5255,XP_021436226.2,6.726473376,0.020203279,1.043353711,24.50841094,0.963590667,0.016107415
5256,XP_021436228.2,6.504506244,0.004290959,1.120022705,99,0.401451318,0.396367112
5257,XP_021436229.1,6.97456112,0.001258352,0.67809804,99,0.33212656,0.478696393
5258,XP_021436230.2,6.924729357,0.022062728,0.806238915,10.15309188,0.641762386,0.192625741
5259,XP_021436239.2,6.126020214,0.00607806,1.457149771,63.28101926,0.743692865,0.128606385
5260,XP_021436240.1,5.507684677,0.008970445,1.209694143,99,0.431044654,0.365477737
5261,XP_021436245.1,6.728195084,0.003866238,1.372717545,99,0.460625786,0.336651754
5262,XP_021436253.2,7.567259191,0.004070756,0.876768309,99,0.353264058,0.451900547
5263,XP_021436265.2,6.934434271,0.032804355,0.858249092,12.39710054,0.752894313,0.123265983
5264,XP_021436275.1,6.311933214,0.001338634,0.444911681,99,0.311965021,0.505894098
5265,XP_021436277.1,7.092595893,0.003885448,0.899528802,99,0.360596792,0.442978141
5266,XP_021436280.1,7.455641708,0.003011616,0.752481463,99,0.341527921,0.466573786
5267,XP_021436285.1,8.05356165,0.260383891,0.694422713,3.853772528,0.156740674,0.80481829
5268,XP_021436291.1,7.941060392,0.014876912,1.075851603,29.43619593,0.904530938,0.043576574
5269,XP_021436333.1,6.925501821,0.060183112,0.974331069,22.95086608,0.984945675,0.006587722
5270,XP_021436335.2,6.820067423,0.011406036,1.06497938,28.3271431,0.916214677,0.038002755
5271,XP_021436336.2,7.006675817,0.004060834,1.011912159,99,0.384463515,0.415144868
5272,XP_021436337.1,8.125983472,0.022610241,0.975804654,19.8540612,0.961592294,0.017009026
5273,XP_021436338.2,6.672009094,0.087307272,0.832448982,12.48627884,0.746480123,0.126981752
5274,XP_021436339.2,7.658883314,0.004785809,1.530813723,72.3634307,0.723602,0.140500241
5275,XP_021436347.1,7.37354752,0.000686855,0.427742435,99,0.309652054,0.509126035
5276,XP_021436357.2,8.115026367,0.000227421,0.3800619,99,0.299516275,0.523579574
5277,XP_021436358.2,8.524584369,0.008664129,1.127200767,32.58493396,0.877360492,0.056821926
5278,XP_021436361.2,7.967370315,0.044593888,0.675676442,3.274602839,0.096204239,1.016805791
5279,XP_021436374.1,12.58837362,0.036066641,0.756000122,6.781411748,0.427353235,0.369213004
5280,XP_021436379.2,5.709088447,0.004978696,1.128221155,99,0.397113573,0.401085269
5281,XP_021436381.2,10.72772551,0.014141605,0.718755471,5.250390765,0.284965795,0.545207266
5282,XP_021436391.1,6.448521954,0.001531736,0.668054058,99,0.333067684,0.477467503
5283,XP_021436417.1,5.757655602,0.021601583,0.915412906,16.2318012,0.878320715,0.056346874
5284,XP_021436421.2,7.847759327,0.00811273,1.710960209,88.28654967,0.706930539,0.150623257
5285,XP_021436456.1,11.39597639,0.009623695,1.173890137,35.34041393,0.858125138,0.066449376
5286,XP_021436457.1,9.858658177,0.014187444,0.759809893,6.996445007,0.444072201,0.352546413
5287,XP_021436459.1,7.027107699,0.017893352,1.769848218,95.45721449,0.698913202,0.155576756
5288,XP_021436467.2,6.316106735,0.003802417,0.830332472,99,0.353874062,0.451151269
5289,XP_021436468.2,8.134593759,0.002055259,1.216578741,99,0.434605638,0.361904644
5290,XP_021436474.2,6.572936262,0.011925662,1.017458678,23.03274823,0.984371078,0.006841155
5291,XP_021436480.1,10.55627457,0.05362047,0.764725342,7.277938513,0.465287649,0.332278476
5292,XP_021436481.1,12.85635159,0.004000724,1.230200076,99,0.431226667,0.36529439
5293,XP_021436486.1,6.207976585,0.014703571,1.145940705,32.52032946,0.880058544,0.055488436
5294,XP_021436491.1,8.298839614,0.028920609,0.819974971,11.75365118,0.714448474,0.146029087
5295,XP_021436501.2,8.271547921,0.001815598,0.57418823,99,0.321431347,0.492911772
5296,XP_021436507.2,6.932615486,0.001645876,0.663092057,99,0.331434943,0.479601706
5297,XP_021436516.1,6.017503415,0.010034381,1.013043513,23.39795212,0.978737644,0.009333708
5298,XP_021436521.2,7.499513073,0.00874129,1.436140249,99,0.481297424,0.317586463
5299,XP_021436524.1,7.753729322,0.001911035,1.209718307,99,0.420001397,0.376749265
5300,XP_021436526.1,8.485072664,0.114347705,0.745968039,6.235961487,0.382848883,0.416972616
5301,XP_021436530.2,6.633785956,0.014887682,1.473128754,99,0.499677837,0.301309913
5302,XP_021436531.1,8.390680973,0.016679524,0.822539361,11.20364993,0.694046113,0.158611674
5303,XP_021436539.2,7.131281111,0.105619427,0.681041659,3.298010009,0.103877699,0.983477679
5304,XP_021436540.1,6.609340951,0.003452121,0.739885801,99,0.340519956,0.467857431
5305,XP_021436541.2,7.476125208,0.024783227,0.874837734,13.99751671,0.809207559,0.091940069
5306,XP_021436548.1,5.671304775,0.028014028,0.733683632,6.538756878,0.38893852,0.410119043
5307,XP_021436549.1,6.041472359,0.00208662,0.689901795,99,0.331095431,0.480046812
5308,XP_021436550.2,7.921710243,0.072619763,0.898694256,16.67035107,0.886518664,0.052312117
5309,XP_021436559.1,8.491354078,0.004130606,0.940256632,99,0.368292941,0.433806605
5310,XP_021436560.2,7.374984801,0.033431137,0.752162129,7.420788601,0.461814608,0.335532334
5311,XP_021436570.2,8.116046673,0.00213756,0.898101299,99,0.359781437,0.443961248
5312,XP_021436578.2,6.40851041,0.001682153,0.660615969,99,0.329009542,0.482791506
5313,XP_021436583.2,6.969359458,0.09866715,0.748680587,6.763968097,0.418590631,0.378210496
5314,XP_021436588.1,9.048113149,0.027443352,1.295704506,48.75610307,0.78448963,0.105412793
5315,XP_021436591.2,10.96875128,0.039764472,0.746799588,6.488885439,0.399549854,0.398429024
5316,XP_021436594.2,7.031619902,0.045505756,0.802874031,9.387390186,0.605228342,0.218080743
5317,XP_021436600.1,6.620236662,0.042372988,0.861088689,14.59921803,0.823704572,0.084228523
5318,XP_021436616.1,7.337681667,0.031135906,0.664544797,2.301864692,0.035687987,1.447477948
5319,XP_021436617.2,11.2264931,0.010752213,1.031517374,24.68706279,0.960617768,0.017449385
5320,XP_021436619.1,7.620756292,0.001477601,1.200921704,99,0.431556734,0.364962102
5321,XP_021436626.2,7.352319104,0.018869263,1.114515109,29.99569635,0.902044012,0.044772272
5322,XP_021436629.1,9.353043842,0.011120999,0.95253667,19.41665175,0.951961933,0.021380418
5323,XP_021436630.1,6.019578311,0.012996079,1.364146059,99,0.484730062,0.314500045
5324,XP_021436631.1,7.478574892,0.026722071,0.760092308,6.975439693,0.443126034,0.353472734
5325,XP_021436632.1,6.851824782,0.006350558,1.40513431,99,0.470414063,0.327519704
5326,XP_021436635.1,5.680088208,0.005546218,1.098284214,99,0.398714735,0.399337714
5327,XP_021436636.1,5.556473203,0.007852801,1.130115019,36.2125464,0.845497853,0.072887491
5328,XP_021436640.2,7.462029383,0.255142937,0.676519379,2.868247578,0.07395088,1.131056654
5329,XP_021436641.2,7.51733999,0.012739604,1.52377644,70.70540785,0.727858389,0.137953108
5330,XP_021436648.1,11.00019805,0.040274733,0.754195033,7.611250055,0.474917264,0.323382043
5331,XP_021436649.2,7.834627557,0.023053056,0.969425298,19.89022599,0.961948493,0.016848181
5332,XP_021436653.1,7.687643755,0.007741617,1.617261434,99,0.581173782,0.235693986
5333,XP_021436654.1,9.504087228,0.004694354,1.522874755,99,0.561012743,0.251027274
5334,XP_021436655.2,9.601684538,0.017017466,0.809905008,11.17157685,0.686924115,0.163091237
5335,XP_021436657.2,7.576146175,0.05769989,0.71667043,4.832203799,0.253503468,0.596016095
5336,XP_021436658.1,5.538797853,0.011454257,0.98024602,23.68219295,0.973609589,0.011615157
5337,XP_021436663.1,7.597879706,0.122673007,0.697174819,3.89739616,0.163355209,0.786867012
5338,XP_021436666.2,6.027951496,0.013706824,1.652531284,82.05806161,0.714103269,0.146238979
5339,XP_021436667.1,8.099662606,0.024667359,1.037783347,24.2654172,0.966802959,0.014662029
5340,XP_021436671.2,7.213116056,0.002507746,0.517870243,99,0.318117709,0.497412154
5341,XP_021436675.2,8.313858344,0.114031412,0.726725092,5.370271002,0.30317159,0.518311499
5342,XP_021436683.1,7.54412282,0.013346938,0.966215418,22.3722634,0.994294258,0.002485069
5343,XP_021436685.1,8.126161474,0.017692492,0.75186937,6.537345175,0.408141654,0.38918908
5344,XP_021436686.1,7.350288583,0.033481158,0.707020793,4.630157977,0.226798281,0.644360241
5345,XP_021436688.1,6.832271383,0.004068821,0.75046419,99,0.342509919,0.465326847
5346,XP_021436689.1,7.96735732,0.005339009,0.764990536,99,0.34424359,0.463134138
5347,XP_021436692.2,6.302628979,0.027955497,0.938739794,17.50029802,0.911000766,0.040481258
5348,XP_021436696.2,7.216459414,0.001972154,0.251454088,99,0.300336082,0.522392489
5349,XP_021436697.1,7.619641736,0.002123772,1.010157628,99,0.376173265,0.424612073
5350,XP_021436701.2,7.022957496,0.006167654,1.218777334,99,0.418605119,0.378195465
5351,XP_021436704.2,6.672065694,0.008014995,1.320275205,99,0.461985845,0.335371331
5352,XP_021436705.1,6.967126868,0.110596242,0.712875915,4.672101879,0.237463862,0.624402473
5353,XP_021436706.2,7.947434937,0.000437878,0.305075216,99,0.300579404,0.522040781
5354,XP_021436711.1,8.999829117,0.003512195,1.339403881,99,0.468588863,0.329208038
5355,XP_021436713.2,7.31176812,0.011874258,1.696982911,99,0.6243889,0.204544826
5356,XP_021436715.2,5.985405076,0.002933352,0.848894177,99,0.349580244,0.456453119
5357,XP_021436717.2,5.973341701,0.004855766,1.230067877,43.78200867,0.804067966,0.09470724
5358,XP_021436718.2,8.63115531,0.001654227,0.622565204,99,0.325008779,0.488104908
5359,XP_021436719.2,6.556364804,0.111573237,0.716467793,4.746661503,0.247369271,0.606654251
5360,XP_021436734.1,8.152616376,0.002412451,1.172623912,99,0.419109428,0.377672569
5361,XP_021436735.2,8.803213109,0.001366824,0.522232289,99,0.319061468,0.496125641
5362,XP_021436739.2,9.753281061,0.010761725,1.110969772,99,0.395542312,0.402807052
5363,XP_021436749.1,7.531421273,0.002686286,1.09212844,99,0.398147543,0.39995596
5364,XP_021436751.2,7.07377028,0.033212174,1.554334454,81.71877497,0.700130705,0.154820875
5365,XP_021436755.1,6.529219299,0.003454041,0.943548728,99,0.364561404,0.438229312
5366,XP_021436756.1,5.907111827,0.00384597,1.409825138,59.53558666,0.751136163,0.124281329
5367,XP_021436767.1,8.568429682,0.017466111,1.046653268,26.95512034,0.931384345,0.030871066
5368,XP_021436774.1,6.219391083,0.001774852,0.40627623,99,0.307102049,0.512717286
5369,XP_021436776.2,6.998109585,0.004037294,1.071483835,99,0.397308413,0.400872239
5370,XP_021436781.1,6.625436033,0.007236681,1.708370528,99,0.619962257,0.207634749
