Protein,Desert_1,Cold_Montane_1,Cool_Montane_1,Desert_2,Cold_Montane_2,Desert_3,Cool_Montane_2,Cool_Montane_3,Desert_4,Cold_Montane_3,Desert_5,Cool_Montane_4,Desert_6,Desert_7,Cold_Montane_4,Desert_8,Cool_Montane_5,Cool_Montane_6,Desert_15,Cold_Montane_5,Desert_9,Cool_Montane_7,Cool_Montane_8,Desert_10,Cool_Montane_9,Cold_Montane_6,Cool_Montane_10,Desert_11,Cold_Montane_10,Cold_Montane_7,Cold_Montane_8,Cool_Montane_11,Desert_12,Cold_Montane_9,Cold_Montane_14,Cool_Montane_12,Desert_13,Cold_Montane_11,Cold_Montane_12,Cool_Montane_13,Desert_14,Cold_Montane_13
XP_021447395.1,7.434523003,10.18843899,7.848452083,7.640553523,8.396848914,7.654059946,7.119750223,8.043249655,7.300912618,8.9206432,8.679340953,8.773166229,7.52404487,8.14750749,9.548187324,7.341460951,8.223720251,9.079930184,7.338764528,9.833562901,8.716024441,7.61517717,7.842290497,8.35519391,7.674141589,9.608297242,8.905691382,8.931682043,9.174788748,9.71848112,9.81454679,8.232118035,7.059285388,8.015197092,9.728769937,7.439152493,8.079968833,8.239640219,8.249172669,8.950045442,8.344293074,7.999369111
XP_021448985.1,9.439511478,9.528936689,8.929272098,9.817017601,9.99519153,10.11951407,9.596266385,9.453015181,9.81875149,9.535942764,9.746886999,9.327810324,9.388850115,9.693284664,9.488754326,9.288877516,9.664053083,9.392610425,9.559307145,9.951226364,9.572517874,8.729160845,9.114260103,9.058383414,8.714342711,9.71762167,9.457321898,9.684187156,9.763477655,9.793473016,9.909694617,9.006640803,9.166857368,9.655719274,9.666865486,8.955606501,9.982552644,9.232098383,9.666328695,9.125092571,9.687952596,9.435241059
XP_021451897.1,7.32848358,9.389031321,6.713243839,6.885759761,8.61598675,6.638147917,7.254757651,7.427335102,7.290157975,8.293183723,6.669617075,7.736129097,6.9198316,6.760988462,7.678009603,7.415998136,7.205681112,8.026191576,7.327070898,7.562605775,7.26140206,8.629285643,7.465805508,7.720400435,7.323057764,7.770224441,7.633110798,6.390404838,8.077743992,8.54454076,8.175243346,7.584119564,7.527732284,8.292042353,8.084655117,7.778451891,6.889642016,8.707601389,7.801187636,8.073981846,6.873623979,8.884369406
XP_021452013.2,8.928573404,7.756960467,8.919527634,9.117952683,6.909645742,8.75023332,9.430314221,8.288387874,8.789450111,7.987410976,8.167995153,8.519629243,8.740403766,9.188275602,7.717635786,9.010062647,8.305099426,7.942343032,9.083597587,7.63726027,8.65510516,9.377463156,8.382937644,9.195761122,9.225947493,7.434535925,7.623879282,9.284206125,6.479787297,7.783675669,7.358306329,7.934462475,9.046542194,9.26492646,8.136342134,9.089351796,8.198219104,8.384163577,8.231620819,8.757472749,9.004323166,8.466736133
XP_021453252.1,10.22088303,10.72249163,10.37955468,10.12424206,10.57245986,11.49242638,10.36364488,10.08181372,10.35902266,10.02087242,10.50703223,9.389569801,10.29186491,10.16363597,10.59108164,10.70671522,9.886263183,10.1364681,10.9675901,11.02151571,10.13998303,9.523232625,10.21799006,9.862075314,9.679981395,10.90683304,9.389589997,10.57375948,10.58672574,10.50656872,10.87399962,9.531485489,9.785305631,10.4417575,10.38039165,9.475284554,10.84265437,10.56021169,10.04069482,10.76325044,10.55026346,10.38062235
XP_021454592.1,6.049996909,5.858386513,5.562959518,5.893901842,6.372068138,6.299387609,5.808412035,5.377313108,6.43383065,6.017435841,6.12724478,5.568197758,6.303764192,5.80174297,6.216037796,6.205603084,5.362235245,5.562644498,6.468677708,6.112573067,5.743382355,4.891994922,5.508241028,5.49183177,5.364944754,6.200695394,5.399554252,5.83738825,6.606797819,6.068972244,6.568505842,5.851302467,5.81260678,6.303905494,6.192461733,5.187324321,6.550717674,4.891994922,6.610759898,6.303715508,5.408530082,5.901715655
XP_021454884.2,5.744891919,6.321331493,4.891994922,5.940799412,6.670481157,5.93137129,5.783393771,5.654082276,5.628372936,6.29109806,6.151226115,5.958454301,6.020186274,5.997509763,6.382922573,5.948608631,5.699502978,6.07342706,5.979174745,6.727538987,5.743382355,4.891994922,5.612599397,5.670260817,5.931642688,6.55912373,6.039702567,5.658846683,7.409609601,6.459391068,5.297288331,6.266528187,6.190162589,6.716049016,6.330198313,4.891994922,6.002541376,6.296659386,6.968304404,6.212698382,6.050480297,5.933481918
XP_021455147.2,8.537475247,7.063819248,8.621671915,8.330701066,7.879927704,8.771735783,9.333396404,8.931741059,8.673945098,7.543566066,9.041796609,8.345871749,8.409963131,9.017794431,8.40706562,8.796177496,8.313859603,9.04654988,8.412998875,7.919069358,9.359252671,5.86807429,8.39783463,8.788554833,8.00969231,7.679257495,8.394393371,8.78535783,7.078851569,7.776695738,5.126503143,8.615315209,8.687498309,7.876613143,8.507585199,9.126996422,9.930251276,7.587617235,7.054345999,9.21771865,9.245768686,7.403428205
XP_021455266.2,5.531750117,6.420135537,4.891994922,5.492372636,6.727745262,6.048159965,5.508560031,5.932047087,5.990675909,6.547792853,5.258586193,5.980371492,5.554250849,5.714500543,6.60351361,5.203271817,5.86424851,6.182969045,5.816809434,5.579110594,5.717071432,6.750417314,5.329389921,6.302640941,6.439418774,6.488716977,6.358570101,4.891994922,6.549873978,6.096475138,6.752437632,6.068977612,6.030042962,7.023388142,6.636037167,7.35649099,5.076504566,7.053071801,7.384252506,5.805555894,5.339919356,6.822679643
XP_021456493.1,10.90252954,10.39420669,10.84735205,10.6451954,10.32004424,11.59429457,10.76741,10.70853523,10.70201184,10.62391286,11.33594502,10.66767982,10.67671928,11.15142374,10.74557246,11.80609868,10.73057987,10.95990415,11.49345883,10.29220612,11.47834453,10.36104759,10.82566052,11.28026774,10.53423784,10.68318534,10.7666528,11.64556145,10.38946184,10.37543848,10.53476322,10.78314054,11.19401499,8.790168301,10.68030294,10.80528246,11.26270965,10.71052346,10.14659143,10.53884369,11.55403952,10.61799375
